trial_id,maxNumberOfClusters,maxDissimilarityDistance,similarityThreshold,windowSize,metric,similarityVectors,distanceMetricEmbedding,distanceMetric,numberOfPermutations,ngramms,jaccardWithChars,numOfComparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selectionVariance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
4,507,0.1445512405235242,0.6481647521220069,88,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,404198,371913,16981,13030,,390,140,3.6265385150909424,12.468217372894287,0.4565610885620117,167.53432941436768,97.74286190952857,46.5593545607645,69.1806331471136,55.659339373083306,184.6955051422119
5,815,0.3850045344665721,0.6500912202675004,56,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,247836,227441,12354,10680,,678,48,8.586438179016113,20.53860902786255,0.30704474449157715,109.99255275726318,98.26040326040327,57.14680521777581,60.166433891992554,58.6177571153192,140.0023012161255
6,903,0.406394947788002,0.6828799248747952,83,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,120230,106247,10289,8845,,696,35,10.465404033660889,21.011664152145386,0.1690220832824707,55.10013508796692,98.56606606606607,70.53991546375309,51.47229981378027,59.51619957608586,87.33318138122559
7,978,0.13238955309832212,0.678631314162736,68,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,299501,277769,16184,11811,,826,115,12.553078174591064,27.45054316520691,0.9220004081726074,173.3283462524414,98.64078364078364,67.53246753246754,64.75791433891993,66.11609530033866,214.9510486125946
8,903,0.21100052700745764,0.7187397648312771,25,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,465549,444492,16891,11378,,696,66,12.321990013122559,29.849642038345337,0.7270419597625732,322.8548700809479,98.81536298202965,76.23704991668477,61.23719739292365,67.91880466001872,366.5365107059479
9,825,0.40643526896958015,0.65712725662207,37,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,408793,382102,16401,12524,,618,107,11.281486988067627,25.265729427337646,1.0480000972747803,269.8579270839691,98.34834834834835,58.236693428486475,68.38337988826815,62.90348482415289,308.1622905731201
10,601,0.1416010774838039,0.7267387662297631,59,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,499005,476020,17103,11078,,491,115,6.234192132949829,19.986080169677734,0.6575925350189209,247.6471107006073,98.56511273177941,66.38837550188006,60.62034450651769,63.373384030418244,275.37781739234924
11,934,0.30212451631747816,0.7034727560500438,51,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,288795,271469,14267,10226,,769,52,13.59358811378479,28.255732774734497,0.3960394859313965,171.07114028930664,98.78390295056961,76.81137149442951,58.176210428305396,66.20749031424882,214.0475869178772
12,505,0.21679429631796865,0.6062559818454402,99,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,289529,254604,15670,12659,,430,121,4.16005277633667,16.7650785446167,0.4800403118133545,151.3925108909607,97.31934315267648,40.971679189474045,70.12918994413407,51.72435993733502,173.54859924316406
13,512,0.2071185268521921,0.6004385956991867,100,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,381526,339919,16341,13083,,437,132,4.274401426315308,16.91944718360901,0.488039493560791,176.46281504631042,96.61030077696743,34.32881516323861,71.77607076350093,46.44437331726695,199.14165377616882
14,504,0.22580835778429212,0.6037890656003707,100,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,376613,333919,17085,13401,,429,118,6.391082286834717,18.233524322509766,0.46500182151794434,195.00740718841553,96.71063921063921,35.02629990514789,70.91480446927375,46.8917748917749,220.85498523712158
15,589,0.2274280546921721,0.6020995612089134,78,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,267228,231753,15036,12403,,510,71,5.735879898071289,19.6008403301239,0.4040040969848633,155.8532373905182,97.01356118022785,37.368910554504346,67.8072625698324,48.183603845756224,182.33592629432678
16,696,0.28009123119296825,0.6251579600753633,92,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,274051,243444,15525,12585,,597,115,7.856133699417114,22.713552474975586,0.662010669708252,164.52466940879822,97.71223604556938,46.09508298433379,69.1748137802607,55.32439728195103,196.69422435760498
17,539,0.4942126065205811,0.6278855400977783,74,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,235596,209558,13865,11521,,477,76,5.771487474441528,19.900391578674316,0.4280402660369873,120.31668043136597,97.90588207254875,49.127058929132446,63.698789571694604,55.471937159508435,147.13759803771973
18,671,0.1873169291826027,0.7478561682309399,91,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,332720,313034,15970,10376,,571,117,7.417185068130493,22.74843120574951,0.6589996814727783,195.4757387638092,98.7001287001287,73.8594890510949,56.52932960893855,64.04272151898735,227.03935647010803
19,562,0.2594875114519943,0.6241571662169272,100,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,291529,259876,15386,12528,,485,144,5.351038455963135,18.657747268676758,0.6520030498504639,159.7898232936859,97.53396253396254,43.48842386464826,68.20879888268156,53.11310494834148,185.20056438446045
20,634,0.10651066896961736,0.6146703728407376,69,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,277743,245516,15160,12243,,544,92,7.174825429916382,25.23448872566223,0.5519990921020508,158.48444890975952,97.4294532627866,42.126987545314236,68.30190875232775,52.112332112332105,192.178808927536
21,759,0.331503955686119,0.6171983315342433,79,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,289830,260420,14671,12217,,645,119,9.315460205078125,25.279680490493774,0.6821248531341553,185.6548798084259,97.67052767052768,45.41077807112906,68.0633147113594,54.4760130414532,221.73814392089844
22,745,0.17060624857166798,0.6377774976983753,86,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,66762,56388,6295,5323,,635,32,9.847660303115845,26.588239192962646,0.20700359344482422,45.262569427490234,98.10048143381476,56.61561369921293,30.976489757914337,40.04363198675995,82.6844732761383
23,503,0.23553501241696073,0.6012504366398503,100,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,290435,252948,15715,12672,,427,121,4.878579378128052,17.982999801635742,0.5069992542266846,170.1157248020172,96.95886362553028,37.267839687194524,70.99627560521415,48.878205128205124,194.3222622871399
24,555,0.24414687447266553,0.6007717492887472,94,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,351112,311639,15941,12585,,476,130,5.393034219741821,17.631346940994263,0.4626741409301758,156.66892504692078,96.8427951761285,36.1284939507718,70.55400372439479,47.78684324622601,180.8059675693512
25,507,0.19414045973977814,0.6348266175053136,92,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,288608,258680,16003,12688,,425,92,3.8788418769836426,14.240368843078613,0.34800004959106445,165.05878901481628,97.84141284141285,48.10374357719599,68.64525139664805,56.567400374046905,184.28704285621643
26,547,0.2653595447718254,0.6118631642704716,100,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,337751,301063,16644,13272,,470,141,5.582046747207642,20.43593668937683,0.6869988441467285,181.04477381706238,97.29348396015062,40.785438058407784,71.19413407821229,51.860958033064854,208.50070023536682
27,632,0.31575768822403427,0.6120409813976183,85,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,390082,351985,16842,13260,,543,138,6.9279749393463135,22.24644899368286,0.9110007286071777,251.42895936965942,97.24462557795891,40.3049895506792,71.82844506517691,51.63570950468541,282.32541060447693
28,644,0.32949199771628174,0.6160779142787863,84,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,349365,313675,16336,12867,,546,134,7.2095277309417725,23.11679196357727,0.7669961452484131,214.37281012535095,97.37451737451738,41.65289256198347,70.39106145251397,52.33644859813084,246.2721347808838
29,572,0.3318517382877549,0.6386483870737034,80,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,329186,298211,16400,12915,,495,144,6.291052341461182,21.91871213912964,0.7310447692871094,184.38608050346375,97.73487773487773,46.44250273053518,69.28538175046555,55.60952825782345,214.1118881702423
30,629,0.2695865181609603,0.6665240165510222,94,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,334773,306526,16303,12495,,530,152,7.233999252319336,23.58387804031372,0.7660021781921387,208.51757669448853,98.12121645454978,53.22977405247813,67.99930167597765,59.714840556009804,240.92741560935974
31,550,0.3008435810563206,0.6147242011269758,46,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,362413,324574,17020,12962,,447,108,5.483855724334717,19.48851776123047,0.678006649017334,217.75270771980286,97.16776300109633,39.39559908502207,71.15921787709497,50.71438939924933,244.22608041763306
32,725,0.47834719051138463,0.663361052456474,73,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,329162,304547,16229,11929,,634,141,9.525025129318237,27.780031204223633,1.0099990367889404,226.479065656662,98.4116259116259,60.20435173910742,66.17783985102422,63.04992653785381,265.6181221008301
33,545,0.30373757463348355,0.6134175851828538,45,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,449698,409436,16889,12884,,443,103,5.34805154800415,19.069085836410522,0.6539449691772461,248.3369402885437,96.99139615806283,37.68894860597917,71.82262569832403,49.436221986341145,274.39309668540955
34,592,0.3598442626608602,0.6121011354422117,38,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,487145,445724,17429,13430,,477,107,7.226037502288818,21.192332983016968,0.6379990577697754,262.57434844970703,96.95945945945947,37.313841936957516,71.29888268156425,48.98938403406706,292.4276473522186
35,607,0.3602216751322476,0.630513883012311,38,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,462065,426674,17186,13005,,487,89,6.470582008361816,19.796294450759888,0.6720490455627441,259.01408219337463,97.47902664569331,42.96096713581735,70.51908752327746,53.39384459474344,286.7024154663086
36,666,0.3613431136856214,0.6200654487720973,33,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,484362,446612,17303,13324,,555,88,7.626316547393799,24.94308876991272,0.9749946594238281,327.46882009506226,97.30599647266314,40.91411721341689,71.05446927374301,51.927616050354054,361.821222782135
37,592,0.4286894599995928,0.6470618177767106,48,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,438676,408132,16819,12718,,475,110,6.0509419441223145,20.516175031661987,0.811058759689331,244.16541862487793,97.87120453787121,48.624038850667745,69.91969273743017,57.3590490285005,272.59366965293884
38,526,0.31111415282754296,0.693881885677919,29,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,496228,470857,17143,11753,,416,71,5.772244930267334,19.24312734603882,0.4940009117126465,269.86069083213806,98.38660088660089,60.0551724137931,63.34380819366853,61.65566852643802,296.20006275177
39,581,0.3912175519547577,0.6443473398468269,42,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,471896,438524,16646,12751,,487,110,6.802201509475708,24.403669595718384,0.7979977130889893,293.80029106140137,97.66754850088184,45.495342610400876,70.2048417132216,55.21155122308413,326.6131591796875
40,620,0.3448937940125999,0.6090175444502733,55,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,346438,310812,16240,12870,,494,90,8.324032545089722,21.534512758255005,0.551997184753418,202.73921465873718,97.35044568377901,41.3945879626474,70.68202979515829,52.21166659502213,233.94702076911926
41,815,0.450660096582165,0.6552329199518192,62,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,235364,214809,13441,10690,,669,52,11.221822023391724,28.38021230697632,0.4129958152770996,165.04795098304749,98.41543924877259,61.64260468459833,59.88128491620112,60.74918086017062,205.86950492858887
42,704,0.3868609773193705,0.6230814846168627,39,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,498689,464610,16209,12563,,566,91,8.026688575744629,22.731759071350098,0.7239971160888672,304.36345744132996,97.59783593116926,44.54111600587372,70.60637802607076,54.62362686835943,336.62086296081543
43,538,0.26171377567611653,0.6124643470579475,89,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,399933,360813,16283,13146,,435,135,5.348999261856079,18.534998416900635,0.629002571105957,192.5933883190155,97.13689880356547,39.06539666304417,71.12430167597765,50.43119455333197,218.00690150260925
44,573,0.29492004947062733,0.6083618198562311,96,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,342757,303442,16390,13239,,449,137,5.9640398025512695,19.56922173500061,0.6719987392425537,200.77944326400757,97.02571619238286,37.90033925736873,70.86243016759776,49.38657149230426,227.6946189403534
45,528,0.31730322312739717,0.6313427044126867,43,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,455608,421364,17289,13240,,451,100,4.967963933944702,18.868767261505127,0.5940003395080566,285.88090538978577,97.60069593402928,44.58039388594944,70.60637802607076,54.653153153153156,311.1006700992584
46,611,0.2788943585783151,0.6097534855952933,32,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,536184,495333,16836,13152,,496,76,7.02344822883606,23.783634901046753,0.6670017242431641,292.0701735019684,96.84017350684017,36.24004718372162,71.51419925512104,48.103495518064754,324.3392472267151
