trial_id,maxNumberOfClusters,maxDissimilarityDistance,similarityThreshold,windowSize,metric,similarityVectors,distanceMetricEmbedding,distanceMetric,numberOfPermutations,ngramms,jaccardWithChars,numOfComparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selectionVariance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,459,0.8489438338982807,0.6529988811816658,89,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,832485,726924,17106,6660,,353,7,0.9089968204498291,3.019087314605713,0.23499846458435059,450.3519358634949,94.52309452309451,15.78359096313912,38.623137802607076,22.40942701826654,455.6271994113922

1,520,0.7560011765518153,0.6680070781522346,49,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,False,819639,708098,16732,6517,,316,12,1.3044216632843018,2.7783203125,0.3029975891113281,500.2922434806824,94.9690166356833,16.98232656291216,37.46508379888268,23.370965985406762,505.6465308666229

2,180,0.6212376448760653,0.6841961534217487,41,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,456364,321799,13318,7523,,148,8,0.1329653263092041,1.362060308456421,0.11203765869140625,253.94440603256226,93.34227084227085,13.771984042254312,42.78980446927375,20.837407013815092,256.59742760658264

3,792,0.6281039148701908,0.6928606650665251,25,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,451253,387025,12520,6267,,629,10,2.999217987060547,5.537142276763916,0.3729398250579834,308.5604085922241,95.58939892273226,19.29319209564517,36.24883612662943,25.182939155043453,318.64456248283386

4,695,0.222393322551115,0.7350301006809449,66,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,False,849172,756807,17247,5726,,516,19,3.1839957237243652,5.841249465942383,0.6580338478088379,599.3964638710022,96.12124028790696,21.156373193166885,32.7921322160149,25.719436774002148,610.1532256603241

5,485,0.610999207168282,0.6458029001010198,93,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,False,361823,285593,10865,6209,,418,4,1.1129939556121826,3.4151759147644043,0.17800545692443848,179.02278232574463,94.79622479622479,15.9606189913115,36.1324487895717,22.14099775345006,184.72692012786865

6,371,0.5634182191170111,0.7148663053101891,49,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,844597,722256,17326,6772,,163,6,0.5731024742126465,1.4509968757629395,0.11903619766235352,419.74640703201294,95.36202869536203,18.94857142857143,38.59404096834265,25.41775256783689,422.9226794242859

7,408,0.768442238572593,0.7410370381372233,102,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,False,752136,649790,16370,5764,,276,12,0.8945932388305664,2.559673309326172,0.2969987392425537,447.19475531578064,96.08453691787025,21.09049323053086,33.26932029795158,25.81562845724865,452.0390293598175

8,698,0.3659987844758582,0.6251674091207631,67,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,False,836453,726518,17130,7042,,596,15,2.073147773742676,4.794139623641968,0.5089983940124512,598.382973909378,93.96312979646314,14.757964331585708,40.787942271880816,21.67385623946689,606.762955904007
9,968,0.7024921092609187,0.6134763143954024,130,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,766155,708377,16716,7486,,744,7,4.1250200271606445,6.90799355506897,0.453000545501709,484.95598435401917,94.2708184374851,16.321814019404776,43.56378026070764,23.746609779695156,497.46402168273926
10,997,0.4002393775741935,0.6025069745106891,143,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,False,0,0,0,0,,104,16,3.893054246902466,0.859154462814331,0.21700119972229004,0.015999794006347656,97.95223795223795,0.0,0.0,0.0,5.9393110275268555
11,105,0.6863257560223633,0.694496295990759,131,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,False,356300,188871,10950,5539,,92,7,0.04902338981628418,0.9580676555633545,0.07099771499633789,135.2143750190735,93.74588874588875,11.943677764360876,32.2334729981378,17.429200755191943,137.42059445381165
12,104,0.45599880212220434,0.6245667004989328,114,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,0,0,0,0,,88,16,0.056997060775756836,0.9280385971069336,0.18300223350524902,0.01600050926208496,97.95223795223795,0.0,0.0,0.0,2.2180418968200684
13,293,0.8568174068033191,0.6826879163398665,124,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,778257,658706,17266,6900,,260,9,0.44499945640563965,2.681077003479004,0.25299715995788574,397.8849563598633,95.09890843224177,18.006413682522716,39.210893854748605,24.67951065855981,402.2890362739563
14,956,0.5262162224596225,0.6035928771191142,148,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,False,776161,683684,16931,7323,,797,2,3.4480371475219727,6.834590196609497,0.23700404167175293,354.07762908935547,93.65687115687116,14.446351423329585,42.61522346368715,21.577900552486188,365.801228761673
15,233,0.2743298515446112,0.7113829800838783,26,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,837490,672874,17273,7056,,180,15,0.2030019760131836,1.6398587226867676,0.2389998435974121,526.6166882514954,93.94144144144144,14.643780070172491,40.56098696461825,21.51865516123555,529.7715468406677
16,633,0.10789660953562086,0.6597019367763168,75,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,738137,629330,16934,6798,,420,7,1.8399903774261475,3.864182710647583,0.3453514575958252,391.5712938308716,94.664426331093,16.402825133950316,39.19343575418994,23.12684568367557,398.65600395202637
17,875,0.7046462243125668,0.6338854085113581,109,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,839434,737448,17237,6750,,195,14,3.209580421447754,1.6729955673217773,0.2669997215270996,528.7402946949005,93.69202535869202,13.636178696395152,39.00721601489758,20.208019294543263,535.0388460159302
18,244,0.8849503818787635,0.6748398518621024,46,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,False,726369,591044,16186,6427,,217,3,0.2669985294342041,2.004157304763794,0.09199857711791992,300.9056270122528,94.8329281662615,16.46682039456828,37.40107076350093,22.866189917102496,304.8798418045044
19,607,0.47386715856121364,0.7141536070951794,76,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,787469,688721,17048,5975,,523,8,2.102003812789917,5.3299949169158936,0.3670003414154053,519.9874784946442,95.76564659897994,19.71412537549929,34.75325884543762,25.15744465741306,529.1974861621857
