trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,154,0.8408921430039182,0.5776713972188496,15,kendal,initial,euclid_jaccard,euclid_jaccard,7,3,True,390720,385540,564,532,,93,43,0.20000743865966797,1.1549911499023438,0.34500598907470703,422.25103092193604,98.94933358940973,7.968127490039841,93.02325581395348,14.678899082568805,424.5740361213684
1,468,0.7301736017285783,0.6683797068516009,92,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,356199,354494,499,422,,311,46,1.82900071144104,3.2462334632873535,0.6749567985534668,411.1812517642975,99.69073125817303,21.35774218154081,81.3953488372093,33.8368580060423,417.4824860095978
2,736,0.19859698092582684,0.5924230829818884,70,kendal,initial,euclid_jaccard,euclid_jaccard,7,3,True,388131,384998,566,514,,735,46,3.99507999420166,7.47704291343689,1.8639929294586182,522.571031332016,99.41196573471804,13.146734520780324,90.11627906976744,22.9459659511473,536.4591035842896
3,349,0.7621469246481218,0.7217236541770724,48,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,357692,356524,501,347,,217,25,0.8550167083740234,2.3340063095092773,0.3929932117462158,400.77452087402344,99.79721008526779,27.843601895734597,68.31395348837209,39.562289562289564,405.0165479183197
4,809,0.8776468989747224,0.7285302014682128,71,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,300611,299532,459,327,,135,25,1.7769567966461182,1.4970085620880127,0.2129988670349121,275.96665024757385,99.81641581535385,29.86842105263158,65.98837209302324,41.1231884057971,280.00765466690063
5,231,0.6389779074524021,0.7264669504860151,10,kendal,initial,euclid_jaccard,euclid_jaccard,7,3,True,376403,375245,541,399,,211,50,0.4598548412322998,2.5000433921813965,0.7383620738983154,645.1075699329376,99.82036993625393,31.612090680100756,72.96511627906976,44.11247803163445,649.8424963951111
6,304,0.40027875661131546,0.6856876744617946,63,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,383234,381688,553,446,,303,39,1.1675667762756348,6.291507720947266,2.0801525115966797,848.9327647686005,99.75286744374557,25.348189415041784,79.36046511627907,38.42364532019704,859.0254237651825
7,202,0.7602412653603078,0.6825295635213803,52,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,351402,349923,491,395,,149,35,0.2646827697753906,1.6139111518859863,0.3130030632019043,361.41084575653076,99.72575347185936,23.364485981308412,79.94186046511628,36.16042077580539,364.1089782714844
8,275,0.2441261983623822,0.6411598363709122,20,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,374687,372285,532,461,,274,41,0.546638011932373,2.6120643615722656,0.4751551151275635,473.20954871177673,99.55346677549913,16.146688560481664,85.75581395348837,27.176416397973284,477.4406883716583
9,199,0.8657410051172015,0.6965617743791537,26,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,155529,154694,300,229,,104,7,0.34799718856811523,1.4544367790222168,0.09597992897033691,130.19488668441772,99.81641581535385,29.973821989528798,66.56976744186046,41.33574007220217,132.68099522590637
10,117,0.556575548410261,0.6224845161903768,35,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,0,0,0,0,,112,16,0.09793829917907715,1.574930191040039,0.2009749412536621,0.01504373550415039,99.90284160074111,0.0,0.0,0.0,2.5041263103485107
11,211,0.5943998189463007,0.7436855525583247,5,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,198881,198130,303,204,,195,5,0.38816118240356445,2.528604745864868,0.12093591690063477,168.22218656539917,99.83392692219702,31.28834355828221,59.30232558139535,40.96385542168675,171.7940013408661
12,215,0.9430484806996604,0.7056948932309265,32,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,173369,172370,289,204,,38,8,0.470778226852417,0.6660161018371582,0.08315634727478027,153.22784781455994,99.75992837392427,22.319474835886215,59.30232558139535,32.432432432432435,155.09180212020874
13,171,0.41146446807902537,0.6990021351626393,5,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,322050,319884,447,353,,170,13,0.23095440864562988,2.2387239933013916,0.26302170753479004,420.7603268623352,99.53313129658449,14.332425068119893,76.45348837209302,24.13951353832033,424.1681363582611
14,267,0.6443128259899967,0.7482292709113175,27,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,354276,353360,504,328,,246,30,0.659294843673706,3.224236011505127,0.4977748394012451,402.2353038787842,99.86160576849753,37.5,63.662790697674424,47.19827586206897,407.14384055137634
