trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time

0,668,0.2626212327380338,0.5686670773304385,96,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,265508,225337,15425,12943,,516,120,9.426401138305664,33.38350582122803,0.9701063632965088,207.3766736984253,96.66654749988083,34.65160611147466,70.87406890130353,46.54602434503449,251.9207136631012

1,427,0.5697077520288508,0.6392434667067423,74,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,251170,223117,14860,12018,,145,142,3.011803150177002,5.419205665588379,0.23196673393249512,131.32547903060913,97.95128461795129,49.98225219629071,65.55516759776536,56.71919842908212,140.77751994132996

2,693,0.31388102655960903,0.6133302470636589,100,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,212066,186601,13197,11409,,507,54,7.527180910110474,20.44804573059082,0.29999494552612305,110.503427028656,97.89003289003288,48.86502000347887,65.39222532588454,55.933300149328026,139.5576503276825

3,469,0.4859457293321583,0.5692610152855268,96,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,248907,205790,15130,12965,,236,162,3.9504003524780273,10.053705215454102,0.3580005168914795,124.9468126296997,96.29176795843463,31.88507540301612,71.362895716946,44.076630005031994,140.0160105228424

4,638,0.40934364590999184,0.6038968604149202,90,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,366818,331124,16145,12602,,386,117,7.077112197875977,15.501025915145874,0.4069664478302002,187.76660537719727,97.20839887506554,39.6312292358804,69.41922718808193,50.45681414431943,211.52530193328857

5,620,0.7805139083948388,0.7320962631428134,53,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,114300,103583,8542,6968,,68,28,6.183493614196777,2.6066174507141113,0.03203868865966797,45.274442195892334,98.52340435673769,76.21130919829378,40.54934823091247,52.934250009495955,54.85266447067261

6,216,0.39278165017543,0.7185353405306826,84,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,196277,175534,13237,9241,,139,58,0.8890030384063721,5.702631235122681,0.10000038146972656,106.02176690101624,98.18604318604318,56.02431834929993,53.09008379888268,54.51774829688061,113.4294011592865

