trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,617,0.56473353202596,0.7325338700417386,28,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,0,0,0,0,,92,16,6.470969915390015,3.7802507877349854,0.0670003890991211,0.026999711990356445,97.95223795223795,0.0,0.0,0.0,11.594969034194946
1,254,0.3531202590903702,0.598555202646771,12,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,310068,266232,20201,19734,,137,34,1.4252738952636719,5.79157280921936,0.20100069046020508,256.7837703227997,97.55136088469422,45.190438064737506,91.96927374301676,60.60280696372421,265.41960287094116
2,543,0.1102197079051778,0.5667500739686158,72,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,129800,106925,12171,12057,,324,29,4.044339179992676,10.877925634384155,0.12500238418579102,96.45270609855652,98.11347061347061,52.97218927112165,70.1641061452514,60.368006008261354,112.90031695365906
3,340,0.6102851534424445,0.46049193243897046,87,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,75215,37973,12302,12279,,73,148,2.0919244289398193,3.1853342056274414,0.3629722595214844,65.64272427558899,96.44942561609228,32.80427609152145,70.00116387337057,44.67346294542551,72.1988513469696
4,624,0.7387784114029983,0.5344302065222335,97,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,138044,96967,13636,13598,,72,112,4.406541109085083,2.3204329013824463,0.14799737930297852,65.42725276947021,96.26161876161876,32.555394338833835,77.03677839851024,45.76901135754663,73.05013990402222
5,221,0.2282706124570581,0.6440281625176705,95,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,114369,88598,15853,15488,,162,157,0.41001296043395996,3.696152687072754,0.2136378288269043,60.00792407989502,98.46548929882263,59.387941932952614,79.27723463687151,67.90618847045336,65.06595993041992
6,618,0.2406966687680283,0.542633428582991,39,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,157424,118917,16469,16376,,295,48,3.7384190559387207,6.576795816421509,0.14027786254882812,76.95163106918335,97.17276800610134,40.80364423698788,84.44483240223464,55.021138642956004,87.96830892562866
7,267,0.2822442511614288,0.613427179577496,34,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,221449,190197,16220,15863,,168,88,0.48360776901245117,2.76430082321167,0.17187094688415527,94.83855676651001,97.97368797368797,50.303500370944896,86.80749534450652,63.69614415645416,98.83491086959839
8,350,0.12735205754698323,0.6799057526821353,91,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,90393,68537,15720,15253,,242,78,0.9000661373138428,3.8346920013427734,0.14066433906555176,44.451271533966064,98.88698222031556,70.90841241070477,77.40339851024208,74.01368872071671,49.91817045211792
9,499,0.7419305747479551,0.6965873313587954,56,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,214196,190923,16834,15476,,69,81,1.7208294868469238,1.175671100616455,0.05700397491455078,65.96363425254822,98.98291148291149,71.5610510046368,83.52537243947859,77.08171101742703,69.52870631217957
10,462,0.9209003766891594,0.7425359618031178,61,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,184954,150185,15827,13853,,8,24,1.5825295448303223,0.19005250930786133,0.015667200088500977,85.53298997879028,97.4038324038324,41.514860977948224,65.51443202979516,50.82389056927453,87.88137722015381
11,447,0.8122853268089856,0.6790364492950562,76,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,137613,117984,13534,12637,,62,53,1.4224655628204346,1.0806174278259277,0.046872615814208984,49.20942711830139,98.72801372801374,67.40641711229947,73.35311918063314,70.25415226842047,52.321368932724
12,108,0.6845220904837919,0.6865936249488511,57,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,78727,61134,12013,11499,,45,46,0.058985233306884766,0.8225760459899902,0.02249765396118164,30.29877471923828,98.62934362934362,66.90668888359914,65.42714152700187,66.15864422737437,31.773709535598755
13,404,0.4407508451850994,0.6901380821521692,47,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,197853,175210,16397,15111,,125,50,1.136645793914795,2.238051176071167,0.07039904594421387,68.47885465621948,98.89282139282139,71.58562599135809,76.16387337057728,73.80381763329294,72.48007678985596
14,493,0.44838676680544354,0.6489998748343392,74,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,241775,213795,18247,17631,,131,91,1.7728428840637207,2.235942840576172,0.1093740463256836,99.59598517417908,98.7282520615854,64.60613673066571,83.81052141527002,72.9658526699767,104.25719213485718
15,356,0.068474301586046,0.7133281074757715,19,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,130163,112685,12971,12104,,244,13,1.0084235668182373,4.048607587814331,0.046839237213134766,55.57047128677368,98.8575480242147,72.8673770393113,70.43761638733706,71.63189820979434,61.21812391281128
16,521,0.9215681393633999,0.6459425196718799,82,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,188462,140760,16358,15346,,8,40,2.1001105308532715,0.17183876037597656,0.041347503662109375,90.7692608833313,96.36791553458221,32.27002373776438,70.40851955307262,44.256268632148796,93.63893485069275
17,318,0.5465248799931353,0.7088336653692796,64,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,209108,185557,17370,16028,,80,51,0.6612370014190674,1.360259771347046,0.06270146369934082,68.85695552825928,98.96968396968397,73.30749071849749,78.13663873370578,75.64507042253523,71.56794881820679
18,135,0.793237863262458,0.7478077388089949,66,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,79880,63854,12173,11069,,45,77,0.13697052001953125,0.8968675136566162,0.04800081253051758,33.35720372200012,98.78318794985461,73.82628305883962,62.86662011173184,67.90709369205142,35.055298805236816
19,294,0.5544272819497986,0.4522151642847376,48,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,268136,180278,18888,18837,,76,95,0.6544649600982666,1.3559322357177734,0.07947325706481934,103.9553234577179,92.5291958625292,20.281072044302807,90.36312849162012,33.12710671160985,106.7656934261322
20,197,0.6639175051353892,0.7099483508863789,53,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,85161,68486,12646,11958,,56,56,0.23675203323364258,0.9974560737609863,0.05533599853515625,32.312626123428345,98.86874970208304,74.51080374784881,68.02839851024208,71.12219754813981,34.28542494773865
21,401,0.47452117820720974,0.6716067327573009,88,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,146559,125187,14880,14403,,111,68,1.2328128814697266,1.9738662242889404,0.0625004768371582,59.48166632652283,98.75971209304542,68.68107631230701,72.48603351955308,70.53227633069082,63.31487679481506
22,321,0.33827214801447164,0.7117691913319869,66,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,122870,101858,15528,14141,,165,99,0.8360710144042969,3.074960470199585,0.11950540542602539,64.72420287132263,98.89484722818057,71.59785932721712,76.29771880819366,73.87311246337616,69.32831001281738
23,399,0.1324988703031592,0.614583855594913,42,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,74143,53873,12291,12129,,260,25,1.0244615077972412,4.616718292236328,0.06249594688415527,39.62500333786011,98.44678011344678,60.31927591008554,70.58310055865921,65.04880403303657,45.93183898925781
24,564,0.400188303958599,0.6610759274036279,63,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,203245,179810,15838,15008,,173,49,2.3870601654052734,3.0102672576904297,0.0937492847442627,78.07051420211792,98.71693121693121,65.30699871189351,79.66131284916202,71.77349587101848,84.19117069244385
25,425,0.8188557209226905,0.7017713844447186,81,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,138093,119345,13477,12452,,61,80,1.306525707244873,1.0349106788635254,0.07249855995178223,52.097172260284424,98.80642547309215,70.23943980121979,72.38128491620111,71.2942794910008,55.06535840034485
26,368,0.5266368793670361,0.725096617619853,100,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,106780,91180,11740,10575,,89,66,0.9824185371398926,1.5948472023010254,0.06046414375305176,46.77655792236328,98.75244291910958,73.25943886387253,61.53980446927374,66.8901609791581,50.086915493011475
27,315,0.6317212757498626,0.6279973853046164,55,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,64418,46784,11301,11071,,67,25,0.9018244743347168,1.4087769985198975,0.026365280151367188,29.51981830596924,98.51685018351685,63.61181337623535,64.4262104283054,64.01642188042095,32.4836802482605
28,224,0.7157058224276376,0.5848818856286198,90,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,81776,58920,12436,12247,,59,56,0.4072563648223877,1.1251699924468994,0.04500937461853027,35.27773571014404,98.14874398207732,53.68327004690641,69.93133147113593,60.73946776516971,37.43836951255798
29,477,0.5890184321321109,0.7236133601337136,27,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,251837,227674,18235,16810,,83,53,1.7529160976409912,1.571845531463623,0.0700082778930664,101.31850695610046,99.04654654654654,73.13214771525014,84.47392923649907,78.39494504901035,105.27676844596863
30,487,0.587306115263838,0.7369532594815518,27,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,352308,327267,19393,17504,,83,72,1.6783828735351562,1.462226390838623,0.0937509536743164,134.9335641860962,99.06728156728157,74.555188159345,82.6641061452514,78.40052984518586,138.72142457962036
31,567,0.5823919385109433,0.7306550885049722,27,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,333993,305653,21855,19284,,86,76,2.48240327835083,1.500152826309204,0.09912705421447754,129.9097776412964,99.05846322512988,74.09291461199065,83.06564245810057,78.32313643721365,134.68119764328003
32,580,0.6293764779557787,0.7328133416184033,24,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,471078,442112,22292,19609,,80,63,2.4497549533843994,1.3982574939727783,0.08796572685241699,179.8056321144104,99.06311072977739,73.50716158967117,84.81727188081936,78.75824057062574,184.47835183143616
33,580,0.6017964958017946,0.731503755053704,23,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,332562,305624,20783,18284,,85,64,3.5267364978790283,1.8826394081115723,0.08376884460449219,128.94103837013245,99.03963487296821,73.62153766502718,82.75139664804469,77.91994301213731,135.0359718799591
34,646,0.5895916450931966,0.7483442001935394,5,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,707622,680271,21407,18471,,87,25,3.006793260574341,1.5668120384216309,0.1093747615814209,329.9129648208618,99.08336908336909,75.3201024327785,82.15782122905027,78.59051436205746,335.1498808860779
35,645,0.5049307906843972,0.7495970441333416,5,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,669497,642349,21691,17557,,111,24,2.982811689376831,1.8234810829162598,0.14062142372131348,316.1167402267456,99.05441155441156,75.54548969784014,79.58566108007449,77.51296511463146,321.61375403404236
