trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,342,0.5005854122062207,0.5516028059668504,33,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,371182,346165,418,410,,235,21,0.5154385566711426,1.3001179695129395,0.26581478118896484,294.18553018569946,94.22246449058214,1.6119718987585412,97.38372093023256,3.1714475054435294,296.63338112831116
1,126,0.8427281623298983,0.6579977333101301,7,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,192666,183212,323,297,,69,5,0.05800008773803711,0.4779980182647705,0.024000167846679688,90.6706154346466,97.40779131279639,3.1501909206618586,86.33720930232558,6.078591895210807,91.59705972671509
2,103,0.7842233012733939,0.6511700253048771,17,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,336203,322112,376,351,,75,11,0.031261444091796875,0.4881284236907959,0.06370711326599121,306.99935269355774,96.30374427005516,2.3910931779122766,93.02325581395348,4.662344284985794,308.0485084056854
3,394,0.766285591765214,0.5362232159305439,27,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,293469,272822,350,341,,171,8,0.980999231338501,1.2990005016326904,0.13899993896484375,218.37407040596008,94.41254473099269,1.6274324391579158,95.05813953488372,3.2000782893771103,221.2112331390381
4,198,0.7744343981285746,0.456450190462543,36,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,367858,334591,394,394,,118,15,0.19099831581115723,1.0331945419311523,0.21199440956115723,305.01350688934326,92.12932234840889,1.2159239958878372,99.70930232558139,2.4025496445207155,306.86753392219543
5,377,0.3049063376498999,0.5249801966027232,34,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,265083,246699,330,323,,260,3,0.6974163055419922,1.7386219501495361,0.08562970161437988,237.1295714378357,94.89494748080133,1.757631822386679,93.8953488372093,3.4506703701725336,240.07228779792786
6,156,0.7031975371264374,0.5959172376346091,22,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,361519,343693,391,377,,105,13,0.10830330848693848,0.7924518585205078,0.14062118530273438,305.3656322956085,95.29629075215853,1.950271034645298,96.22093023255815,3.8230538230538227,306.80318570137024
7,261,0.9424278432138649,0.5725980858715307,93,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,355614,340605,395,370,,28,12,0.28748393058776855,0.3046698570251465,0.06249809265136719,290.23297929763794,96.22183747998227,2.333406480871919,92.73255813953489,4.55226542989654,291.30425453186035
8,312,0.19325628984499066,0.6585910824396282,60,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,365634,350368,398,364,,235,14,0.5151963233947754,1.6107277870178223,0.3156251907348633,317.11898708343506,96.66893557889742,2.591917853593905,90.98837209302324,5.040257648953301,319.9708299636841
9,295,0.8163229738123132,0.7423936870733279,5,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,359521,351734,407,349,,135,15,0.3641691207885742,0.9943320751190186,0.18204903602600098,306.91706681251526,98.33192585458438,4.721589058938457,84.30232558139535,8.942337341967313,308.85837721824646
10,255,0.5320503448727364,0.7469296297720615,61,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,357708,349421,440,354,,188,22,0.34658145904541016,1.506166934967041,0.3538541793823242,307.0147466659546,98.35056671025613,4.473161033797217,78.48837209302324,8.46394984326019,309.7625033855438
11,256,0.5468451039414582,0.7493070722719861,63,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,368828,361252,438,356,,183,21,0.3830280303955078,1.851858377456665,0.7690143585205078,352.30821537971497,98.35310864512047,4.540182270091135,79.65116279069767,8.59068819564195,355.78160786628723
12,264,0.6000985835086146,0.7290400132232392,79,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,360683,352428,393,340,,179,21,0.4082915782928467,1.4331376552581787,0.3227715492248535,327.4796953201294,98.05767932644375,4.1157465936227,85.17441860465115,7.85207021305105,330.1651589870453
13,302,0.36851061282880415,0.7042714976376867,49,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,0,0,0,0,,228,16,0.5168671607971191,2.841338872909546,0.513225793838501,0.018999576568603516,99.90284160074111,0.0,0.0,0.0,4.3602025508880615
14,187,0.06654279944796632,0.6943809708027477,76,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,363501,353473,416,366,,152,22,0.1908261775970459,1.2811634540557861,0.332688570022583,301.154625415802,97.58798625095676,3.4212320982041375,87.5,6.584992343032159,303.3529531955719
15,223,0.6431150747292851,0.6976244950293077,50,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,366729,357248,401,352,,150,15,0.19401001930236816,1.0171220302581787,0.31432652473449707,343.05802297592163,97.64249663193631,3.4871556433802158,87.20930232558139,6.706158488878954,345.02998185157776
16,327,0.406986085914086,0.623757207826024,98,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,349948,330803,411,392,,241,15,0.4346749782562256,1.55538010597229,0.21875286102294922,303.93217754364014,95.83122682249669,2.150823154540627,94.18604651162791,4.205607476635515,306.57410430908203
