trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,210,0.13692167914031714,0.5956260895547293,94,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,712123,649750,16417,8699,,175,38,0.15404534339904785,1.4375755786895752,0.24979162216186523,495.0145802497864,94.39856523189857,18.278906499308583,50.0,26.770942061723968,498.0822010040283
1,437,0.40774879942400855,0.6746340070744262,62,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,810974,774481,17027,6823,,356,52,1.0748302936553955,4.469818592071533,0.6971349716186523,1057.1720178127289,96.94432527765862,30.515112421673425,38.54166666666667,34.06192141534664,1065.1922302246094
2,746,0.11668316498478398,0.592863727151004,67,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,561577,519234,14831,7436,,639,30,4.962107181549072,13.617837905883789,1.0282328128814697,2532.925950050354,95.81021497688165,22.375902873828185,42.36499068901304,29.284579335867573,2557.612932920456
3,853,0.5448742006654992,0.5608118153609913,35,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,803306,747862,16959,8367,,579,43,17.278058528900146,32.340842485427856,5.551889896392822,1171.04252409935,95.16897850231184,20.57697152935248,47.52676908752328,28.7196258395752,1228.774363040924
4,581,0.3168393669022229,0.5801705552025886,44,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,814727,761527,17029,8357,,490,42,1.2974834442138672,3.2865538597106934,0.4231994152069092,370.2716736793518,95.19114352447686,20.464511523557004,46.712057728119184,28.46050205644589,376.0864109992981
5,207,0.21832608645748675,0.6897919742957113,40,kendal,initial,euclid_jaccard,euclid_jaccard,1,2,False,490109,459588,12813,5746,,172,7,0.12500262260437012,1.209913969039917,0.0468747615814209,134.5346338748932,97.09626292959626,30.768406961178048,33.438081936685286,32.04774254719875,136.6379337310791
6,127,0.159908708139582,0.551045625815533,43,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,745224,651618,17364,9304,,111,36,0.05696845054626465,0.8629322052001953,0.11056804656982422,276.52889823913574,91.31226464559798,12.104518621290024,51.78654562383612,19.62250005512557,278.34314012527466
7,856,0.4753564631853341,0.645366442410907,52,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,710976,675471,16062,6650,,643,44,2.2111027240753174,3.988034725189209,0.5375950336456299,316.3944070339203,96.85638018971352,29.20586107091172,37.58147113594041,32.86848534201954,323.8812596797943
8,812,0.8320068075695941,0.5511071235758306,38,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,772596,710809,16246,8303,,161,30,1.6531946659088135,1.0406839847564697,0.15944528579711914,304.32382702827454,93.95025978359311,16.299046663321626,47.259078212290504,24.238535122147773,307.89110922813416
9,462,0.3156330379315939,0.6227723389638835,50,kendal,initial,euclid_jaccard,euclid_jaccard,1,2,False,224127,200455,8559,6127,,390,10,0.6422150135040283,2.6453640460968018,0.11050176620483398,92.64179682731628,96.99389866056532,30.18821442648798,35.65526070763501,32.69477054429029,96.79116201400757
10,320,0.628578082678692,0.7473127383698578,82,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,682260,656607,14821,5196,,194,17,0.31802845001220703,1.3870477676391602,0.11151933670043945,288.4357566833496,97.56494589827923,38.03563539979385,30.062849162011172,33.58252616524735,291.0182740688324
11,106,0.14648345899607745,0.6047427350629185,97,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,437061,379349,13364,7338,,92,33,0.03800082206726074,0.6829993724822998,0.09399986267089844,196.49899816513062,94.34124600791267,15.96045832397214,41.340782122905026,23.029792200213958,198.12545943260193
12,104,0.26492950217605116,0.5505868467782168,96,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,685405,601049,16314,8277,,90,41,0.037000179290771484,0.6900408267974854,0.12499713897705078,266.3992133140564,91.84374851041518,12.062228011486427,47.42202048417133,19.23249392273017,268.045268535614
13,277,0.1309414935894316,0.6250417596975043,76,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,690725,638543,16319,8512,,232,44,0.28300023078918457,1.5220751762390137,0.2843780517578125,320.8201892375946,95.35821535821536,21.613374367534295,48.22509310986965,29.84907971040594,323.687597990036
14,223,0.8429186445877811,0.5826815204442303,81,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,567733,504031,13861,8753,,41,31,0.1509993076324463,0.3359997272491455,0.046999454498291016,208.66933703422546,93.82310882310883,16.582439626572025,50.02909683426443,24.908732688184507,210.02154517173767
15,357,0.8980955263842324,0.5745682806797383,84,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,635196,567911,14402,7542,,35,19,0.41309118270874023,0.29799747467041016,0.03220796585083008,241.42022109031677,93.30342247008913,13.875358829521254,43.59869646182496,21.051152727630342,242.9486916065216
16,608,0.7495554720809041,0.7454802475898249,63,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,541378,520129,14566,4276,,231,20,1.149496078491211,1.6721627712249756,0.10100030899047852,224.94209265708923,97.98917965584633,51.89393939393939,24.714851024208567,33.483128350678015,228.61975145339966
17,205,0.674895014073003,0.6279377815004765,30,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,697969,653024,15823,7322,,115,29,0.11504530906677246,0.806992769241333,0.09414386749267578,267.85103845596313,95.85657085657085,22.655180992660778,42.39408752327747,29.52979327117957,269.6952021121979
18,381,0.5593756351536462,0.5743420009502722,70,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,703240,646249,16486,8558,,268,26,0.4580349922180176,1.7769615650177002,0.18103623390197754,308.08393239974976,94.64011630678297,18.885455848110336,49.08635940409683,27.27654895873755,311.31397771835327
19,258,0.4321909334190062,0.6749643499594766,55,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,False,759721,720028,16071,7006,,197,34,0.23003435134887695,1.4301350116729736,0.1430063247680664,338.43202447891235,96.52712236045569,26.82274506763828,40.27001862197393,32.19877626038201,341.01619935035706
20,540,0.7414776802632284,0.7165100587345301,87,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,False,490456,469155,12758,4762,,209,15,0.8609998226165771,1.41015625,0.12299966812133789,227.13977646827698,97.73642690309356,41.97749623460618,27.572160148975794,33.28298970882653,230.27292943000793
21,180,0.21221073897843995,0.5958263557733765,91,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,729783,665305,16354,8417,,148,42,0.15899920463562012,0.9970016479492188,0.1600022315979004,308.82673692703247,94.69100052433386,18.781227898063015,47.90502793296089,26.98352864049824,310.9917345046997
22,165,0.3870929571637986,0.605554288220476,77,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,746172,688229,16485,7911,,126,39,0.08603262901306152,0.9150509834289551,0.14400196075439453,326.2053053379059,95.11785595118928,19.60694114339748,44.646182495344505,27.247704792854226,328.21004366874695
23,263,0.33123950087351006,0.5709592266505731,91,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,779667,707516,16868,9570,,211,52,0.1890416145324707,1.4329609870910645,0.2680318355560303,320.3706285953522,93.42556842556843,16.455316142705758,54.21904096834265,25.247954040431413,323.0450577735901
24,285,0.3282487258450798,0.5721855321909972,76,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,593599,528498,14684,8981,,229,49,0.2910342216491699,1.4479975700378418,0.2719991207122803,290.964613199234,93.92237475570809,17.063716228061633,50.977653631284916,25.568803724405655,293.7376103401184
25,305,0.335407765229568,0.56261446199081,73,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,817775,746922,17504,9243,,248,39,0.25499939918518066,1.6080052852630615,0.2869985103607178,356.51056456565857,93.27899327899328,15.655433335668745,52.0135009310987,24.06699337605687,359.44559717178345
26,339,0.22058845444830527,0.5649004700676407,57,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,646461,572387,15668,9308,,294,47,0.31600069999694824,1.865004539489746,0.3170030117034912,310.7620086669922,93.57166690500024,16.463525891325766,52.50814711359404,25.06737046812057,314.0969982147217
