trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time

0,908,0.2770141317210309,0.6913992005236441,85,kendal,ranked,euclid_jaccard,euclid_jaccard,3,3,False,830398,745232,17164,6396,,765,12,2.538757801055908,5.072293519973755,0.5270407199859619,581.8013730049133,95.51325134658468,19.112009900093568,36.84823091247672,25.169432574778888,590.949298620224

1,673,0.462590465463087,0.7105995955402375,36,kendal,ranked,euclid_jaccard,euclid_jaccard,2,3,False,503030,433655,12400,5929,,576,8,1.8490772247314453,4.981027841567993,0.32500267028808594,391.77399230003357,95.74014490681158,19.469754284398537,34.44483240223464,24.877587475044653,400.0580701828003

3,887,0.5139017538141164,0.6572110567923727,146,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,False,455156,387173,11657,6612,,733,10,3.3580005168914795,7.912998914718628,0.45799946784973145,349.2590584754944,94.95209495209495,17.13659147869674,38.19832402234637,23.659169550173008,362.0330636501312

2,858,0.572507842307776,0.6671899829963698,114,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,False,866894,772483,17308,6708,,732,23,3.119999647140503,8.791530847549438,1.4759941101074219,702.6202013492584,95.11833261833263,17.758073700479947,38.111033519553075,24.227290383441538,717.0717208385468

4,570,0.6708150083339182,0.6786860936067165,37,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,False,858875,745657,17206,6469,,481,20,1.7149925231933594,4.583998680114746,0.7529985904693604,620.745787858963,95.12667429334097,17.448724636885313,36.98207635009311,23.710474769144668,628.9897878170013

5,927,0.3150265709910296,0.6102328783654024,104,kendal,ranked,euclid_jaccard,euclid_jaccard,5,3,False,841403,739616,17251,7331,,778,24,3.805551528930664,7.514199733734131,1.246000051498413,671.4352388381958,93.84491634491634,14.837485462447205,42.31843575418994,21.971447994561526,685.3229992389679

7,551,0.33115301663739516,0.7410174371729717,99,kendal,ranked,euclid_jaccard,euclid_jaccard,1,3,False,310280,253067,10787,5404,,468,4,1.7489969730377197,5.917000770568848,0.22899985313415527,226.77962374687195,96.39448972782306,22.629815745393635,31.447858472998135,26.31989090200662,236.12562346458435

6,502,0.42345569509479275,0.5799115185171266,124,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,False,853441,703092,17127,7876,,392,19,1.650998830795288,5.524000406265259,0.7939972877502441,650.1792423725128,91.79036179036179,11.62842470836178,45.59473929236499,18.530782148009745,659.5662422180176

9,563,0.6228132255952852,0.6309114822396631,88,kendal,ranked,euclid_jaccard,euclid_jaccard,4,3,False,0,0,0,0,,492,16,1.8230020999908447,7.197002172470093,1.0409932136535645,0.03000020980834961,97.95223795223795,0.0,0.0,0.0,11.640005588531494

10,535,0.3108448584796065,0.7068660827064934,30,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,False,769763,663421,16654,6083,,418,3,1.7429969310760498,5.839005470275879,0.21200037002563477,321.8876140117645,95.45128461795129,18.34826410882876,35.39920856610801,24.169100264219164,330.88415575027466

11,716,0.4011502834518954,0.5505016912953258,143,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,0,0,0,0,,489,16,2.314079999923706,4.405706405639648,0.61899733543396,0.01900482177734375,97.95223795223795,0.0,0.0,0.0,8.43977952003479

