trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,573,0.44072397839039856,0.6024250071980006,47,kendal,initial,jaccard,jaccard,3,2,True,634705,522095,16770,14024,,75,56,1.8321843147277832,1.7423388957977295,0.08298754692077637,248.3636758327484,88.55569855569856,12.844218264065594,79.31215083798882,22.108131782568496,252.8592963218689
2,247,0.6125651857531417,0.6555353298448581,91,kendal,initial,jaccard,jaccard,3,2,True,213639,115198,11133,9470,,8,21,0.7999961376190186,0.2980368137359619,0.02700352668762207,156.2048523426056,88.67653367653368,9.785281778916696,55.10940409683427,16.619574946034643,158.4019651412964
3,489,0.36695906284300184,0.6687255982920021,41,kendal,initial,jaccard,jaccard,1,2,True,187092,171627,10842,8786,,121,19,3.391002893447876,3.7425312995910645,0.05500006675720215,92.36548614501953,98.44832928166262,65.52315608919382,51.128957169459966,57.43797600758344,100.24801707267761
4,745,0.6481907325731465,0.7294956629562672,67,kendal,initial,jaccard,jaccard,1,2,True,438962,116074,13785,12390,,6,5,0.7479627132415771,0.25003838539123535,0.00896596908569336,186.37381720542908,62.59390342723676,3.853894174989813,72.10195530726257,7.3167058879109,188.15982103347778
5,594,0.6045106135022553,0.7092152845017504,56,kendal,initial,jaccard,jaccard,1,2,True,408432,312751,13364,10930,,12,9,1.0618634223937988,0.4929976463317871,0.014001607894897461,227.62573647499084,89.44527861194528,11.721556725685545,63.60567970204841,19.795166212386018,230.19359731674194
6,840,0.4462773355596238,0.586740005951532,63,kendal,initial,jaccard,jaccard,5,2,True,504124,376518,15297,13155,,73,88,3.192391872406006,3.0456175804138184,0.22495627403259277,215.77683782577515,86.19488536155202,10.426209518919917,75.63431098696462,18.326153932924896,223.09880185127258
7,302,0.13385515854170216,0.5574841770902899,50,kendal,initial,jaccard,jaccard,2,2,True,266115,217130,13761,11862,,138,46,1.3699989318847656,4.515491485595703,0.0950019359588623,126.53134489059448,95.19078602411936,24.601591442162256,65.31075418994413,35.740330875913564,133.28983306884766
8,664,0.35799809009110894,0.7042340704416413,35,kendal,initial,jaccard,jaccard,3,2,True,653131,629184,16226,11534,,133,37,4.5776708126068115,7.715575218200684,0.19200491905212402,323.5186700820923,98.46167596167597,61.907414628711486,64.67062383612662,63.25885868791803,336.8161664009094
9,562,0.43672904231340826,0.7199128840855673,88,kendal,initial,jaccard,jaccard,2,2,True,326033,306249,12222,9325,,77,42,2.553546190261841,2.3521370887756348,0.07400083541870117,131.7391128540039,98.16232899566234,55.2199917095991,54.26559590316573,54.73863402893957,137.50280380249023
10,886,0.43577683070368467,0.6243374966662244,62,kendal,initial,jaccard,jaccard,4,2,True,464984,391332,15620,12970,,80,69,2.714731454849243,2.7356302738189697,0.13399839401245117,218.8808147907257,92.83259449926116,18.359110325526586,72.53258845437617,29.301549239485624,225.61968207359314
11,418,0.8558836763879529,0.6108659278132644,79,kendal,initial,jaccard,jaccard,5,2,True,835265,0,17085,0,,1,5,0.3859982490539551,0.11600089073181152,0.036000967025756836,527.4999294281006,97.95223795223795,0.0,0.0,0.0,528.8479285240173
12,900,0.23992476387873463,0.567733203588612,72,kendal,initial,jaccard,jaccard,5,2,True,646740,563566,17278,14646,,231,101,7.421004056930542,8.22901439666748,0.37000370025634766,308.57613611221313,92.37272987272988,18.549914692961835,80.3538175046555,30.141561432422698,325.3615367412567
13,747,0.17986925771018572,0.5511274154863335,71,kendal,initial,jaccard,jaccard,4,2,True,550109,490654,16928,14039,,287,82,6.872276782989502,9.373379945755005,0.41899776458740234,298.57490372657776,95.05100338433672,26.00244450577613,76.7574487895717,38.84553084965395,316.0264732837677
