trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,179,0.45268296922785906,0.4793327044770113,100,kendal,initial,jaccard,jaccard,2,2,True,94019,85184,356,354,,119,34,0.14800429344177246,0.9090025424957275,0.10704851150512695,82.239337682724,97.7791962401959,3.842848373235114,90.98837209302324,7.3742490281540825,83.89744067192078
1,159,0.7419038758193881,0.6308549827005223,66,kendal,initial,jaccard,jaccard,1,2,True,58913,56547,273,242,,38,14,0.11800241470336914,0.35503530502319336,0.023009300231933594,55.14012145996094,99.38005033031031,10.364025695931478,70.34883720930233,18.066442702500936,56.1701557636261
2,372,0.39084678908725146,0.6815778211833132,100,kendal,initial,jaccard,jaccard,2,2,True,85943,83339,350,292,,174,35,1.0480022430419922,1.7545716762542725,0.183974027633667,81.74250340461731,99.42749978111117,11.974694984184366,77.03488372093024,20.72741493938209,85.25804495811462
3,217,0.7141212710586581,0.698018489723818,38,kendal,initial,jaccard,jaccard,1,2,True,45109,43255,242,206,,51,17,0.37499308586120605,0.5396506786346436,0.030999183654785156,45.82203030586243,99.50573488749114,11.331133113311331,59.883720930232556,19.056429232192414,47.27668333053589
4,375,0.06753535224613942,0.5632796927231161,49,kendal,initial,jaccard,jaccard,1,2,True,50633,46619,255,255,,247,19,0.8449995517730713,1.9570000171661377,0.09299635887145996,53.195592403411865,98.9131816268948,6.352765321375187,74.12790697674419,11.702615878843506,56.76458549499512
5,219,0.09929956070974286,0.47069707500230135,13,kendal,initial,jaccard,jaccard,1,2,True,55158,47100,260,260,,173,13,0.31499791145324707,1.6500039100646973,0.0670003890991211,55.38178634643555,97.77382993326009,3.2266070985356166,75.5813953488372,6.189002618424184,57.957733154296875
6,191,0.2967070477568252,0.5968881685705935,23,kendal,initial,jaccard,jaccard,3,2,True,138464,133037,400,386,,140,53,0.17400026321411133,1.1519982814788818,0.1849963665008545,126.31857657432556,98.84285476231497,6.990602796241118,88.66279069767442,12.959422137242404,128.37752747535706
7,291,0.6626035179738441,0.6180516756044477,29,kendal,initial,jaccard,jaccard,4,2,True,169981,166352,400,373,,79,70,0.3950486183166504,0.6719443798065186,0.1309983730316162,147.83172345161438,99.23770197790776,10.420168067226891,90.11627906976744,18.68032539921663,149.5348310470581
8,102,0.24027130614825504,0.5436923486926677,68,kendal,initial,jaccard,jaccard,5,2,True,218461,208843,466,454,,88,94,0.04999685287475586,0.7150571346282959,0.18894529342651367,175.23247623443604,97.95035318772753,4.333465451182454,95.34883720930233,8.290155440414509,176.7964744567871
9,149,0.06855352759586494,0.6636224943749145,61,kendal,initial,jaccard,jaccard,2,2,True,99913,97098,340,300,,129,29,0.10499215126037598,1.0644199848175049,0.11600852012634277,94.90346717834473,99.34954711193834,10.929397686477863,79.65116279069767,19.221325850578747,96.64487075805664
10,418,0.891418934765752,0.7377674543842807,97,kendal,initial,jaccard,jaccard,3,2,True,142400,132634,384,300,,8,24,0.9510457515716553,0.13995790481567383,0.031998395919799805,122.49933385848999,97.71508299417332,2.929022848808945,70.05813953488372,5.62295846943537,124.11436629295349
11,313,0.4388627360494344,0.6856921394949813,76,kendal,initial,jaccard,jaccard,2,2,True,108023,105216,372,311,,156,34,0.474001407623291,1.203378677368164,0.11295294761657715,91.5532157421112,99.42100372534675,11.680143755615454,75.5813953488372,20.233463035019454,93.93255639076233
12,320,0.464435082400178,0.7373498959101069,83,kendal,initial,jaccard,jaccard,2,2,True,79791,77593,333,272,,156,38,0.6600024700164795,1.3159945011138916,0.13501310348510742,74.4799292087555,99.52465818037005,13.072255929398787,68.8953488372093,21.9749652294854,77.12493419647217
13,344,0.5531897127667031,0.7485848772643957,84,kendal,initial,jaccard,jaccard,2,2,True,78642,76473,350,257,,136,38,0.7800004482269287,1.2160003185272217,0.11899995803833008,73.79999279975891,99.52183380829857,13.121924548933844,69.76744186046511,22.08927749654855,76.44798541069031
14,321,0.5637238039476922,0.7309653528825395,83,kendal,initial,jaccard,jaccard,4,2,True,142447,139816,399,321,,129,77,0.5280413627624512,1.0429558753967285,0.22100210189819336,145.31603074073792,99.4966968968624,13.165983606557377,74.70930232558139,22.38675958188153,147.607027053833
15,268,0.6037018745568719,0.7466370345924926,84,kendal,initial,jaccard,jaccard,4,2,True,160965,158358,443,337,,107,79,0.472001314163208,0.9019923210144043,0.1950063705444336,129.36275553703308,99.53313129658449,13.578185865331108,70.93023255813954,22.793087342363382,131.41670775413513
16,254,0.6018402443079941,0.7133582743824987,51,kendal,initial,jaccard,jaccard,5,2,True,176942,174143,420,348,,107,100,0.32799577713012695,1.1306917667388916,0.21704912185668945,144.8452606201172,99.46280443200466,13.010446343779677,79.65116279069767,22.36734693877551,146.9949929714203
17,265,0.8389599212863273,0.65404134506587,86,kendal,initial,jaccard,jaccard,4,2,True,165245,160829,383,333,,18,59,0.46058130264282227,0.23298358917236328,0.07723498344421387,144.21564197540283,98.98548555192467,7.195571955719557,79.36046511627907,13.194780086998549,145.45044422149658
